"id","submitdate","lastpage","startlanguage","seed","token","startdate","datestamp","Qa[SQ001]","Qa[SQ002]","Qa[SQ003]","Qa[SQ004]","Q1[SQ001]","Q1[SQ002]","Q1[SQ003]","Q1[SQ004]","Q1[SQ005]","Q1[SQ006]","Q1[SQ007]","Q2[SQ001]","Q2[SQ002]","Q2[SQ003]","Q2[SQ004]","Q2[SQ005]","Q2[SQ006]","Q2[SQ007]","Q2[SQ008]","Q2[SQ009]","Q2a","Q2b","Q3[SQ001]","Q3[SQ002]","Q5[SQ001]","Q5[SQ002]","Q5[SQ003]","Q5[SQ004]","Q5[SQ005]","Q5[other]","Q6[SQ001]","Q6[SQ003]","Q6[SQ005]","Q6[SQ006]","Q6[SQ007]","Q6[SQ009]","Q6[SQ010]","Q6[SQ011]","Q6[SQ012]","Q6[SQ013]","Q6a","Q4[SQ003]","Q4[SQ004]","Q4[SQ005]","Q4[SQ006]","Q4[SQ007]","Q4[SQ013]","Q4[SQ008]","Q4[SQ009]","Q4[SQ010]","Q4[SQ011]","Q4[SQ012]","Q2c[SQ007]","Q2c[SQ008]","Q2c[SQ009]","Q2c[SQ010]","Q2c[SQ011]","Q2c[SQ012]","Q2c[SQ013]","Q2c[SQ014]","Q2c[SQ015]","Q2c[SQ016]","Q7[SQ001]","Q7[SQ002]","Q7[SQ003]","Q7[SQ004]","Q7[SQ005]","Q7[SQ006]","Q7[SQ007]","Q7[SQ008]","Q7[SQ009]","Q8[SQ001]","Q8[SQ003]","Q8[SQ004]","Q8[SQ005]","Q8[SQ006]","Q8[SQ007]","Q8[SQ008]","Q8[SQ009]","Q8[SQ010]","Q8[SQ011]","Q8[SQ012]","Q9","Q10","Q11[SQ001]","Q11[SQ002]","Q11[SQ003]","Q11[SQ004]","Q11[SQ005]","Q11[SQ006]","Q11[SQ007]","Q11[SQ008]","Q11[SQ009]","Q11[SQ010]","Q11[SQ011]","Q11[SQ012]","Q11[SQ013]","Q11[SQ014]","Q11[SQ015]","Q15","Q15[other]","Q13","Q13[other]","Q14","Q14[other]","Q16","Q16[other]","Q17","Q18","Q18[other]","Q19","Q19[other]","Q20","Q20[other]","Q26"
"144","","-1","en","924622712","T7z8Yi5oouaVNQa","2021-03-18 07:29:34","2021-03-18 07:29:51","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"146","","0","en","1736203351","r0930A8uzSGPaF3","2021-03-18 08:33:33","2021-03-18 08:33:47","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"147","","1","en","403730989","C680hb4XKLaOIHb","2021-03-18 08:33:48","2021-03-18 08:34:03","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"148","","1","en","933166282","P6ArQqQwDacrv57","2021-03-18 08:40:47","2021-03-18 08:41:28","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"149","","2","en","1183223574","F0UdzWNna86qBu0","2021-03-18 08:46:21","2021-03-18 08:49:50","Yes","Yes","Yes","Yes","Completely agree","Agree","Completely agree","Agree","Agree","Agree","Completely agree","Very important","Important","Very important","Important","Important","Important","Very important","Important","Important","The impact of research is very important.
Collaboration with local and international stakeholders.
The contribution of academics to education is critically important for progression.","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"150","","1","en","777962781","fnuskuOBWyExHu7","2021-03-18 08:57:07","2021-03-18 08:57:42","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"151","","1","en","965345581","LSL4iXBmc69rNqf","2021-03-18 09:11:47","2021-03-18 09:12:11","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"154","","1","en","614236784","Rf0opdkuFNSyLkL","2021-03-18 09:34:36","2021-03-18 09:34:50","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"159","","3","en","1058857071","AuaPTSVMNacDL3A","2021-03-18 09:50:59","2021-03-18 09:58:22","Yes","Yes","Yes","Yes","Completely agree","Neither agree or disagree","Completely agree","Agree","Agree","Agree","Completely agree","Important","Important","Very important","Important","Important","Neither important nor unimportant","Important","Important","Important","","","Aware","Aware","No","Yes","No","Yes","No","","Yes","I don't know","I don't know","Yes","Yes","I don't know","I don't know","Yes","I don't know","I don't know","","Always","Always","I don't know","I don't know","Often","I don't know","Often","I don't know","Always","I don't know","Always","Established","I don't know","I don't know","I don't know","Established","I don't know","I don't know","Established","Established","Established","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"164","","1","en","25220909","xdEcV3aF7RezY5J","2021-03-18 10:12:28","2021-03-18 10:13:54","Yes","Yes","Yes","Yes","","","","","","","","","","Very important","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"165","","2","en","1731892011","vyzkaLMWyNQ1Tkw","2021-03-18 10:13:32","2021-03-18 10:20:49","Yes","Yes","Yes","Yes","Agree","Agree","Completely agree","Completely agree","Completely agree","Completely agree","Completely agree","Completely unimportant","Completely unimportant","Very important","Very important","Very important","Important","Very important","Important","Important","My university is signed up to DORA","Impact factors and citation count  relating to publications should not be a major criteria for promotion at any institution","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"166","","1","en","1744989748","fI6owF2MLFQOjbP","2021-03-18 10:13:37","2021-03-18 10:14:09","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"167","","1","en","2057306934","L6n7r0pluy3H1t8","2021-03-18 10:34:48","2021-03-18 10:35:02","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"168","","","en","1360400566","2X4PXGKRq6eaM31","2021-03-18 10:46:14","2021-03-18 10:46:14","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"175","","3","en","811208689","Qs6a5FDGojgXH4o","2021-03-18 11:30:05","2021-03-18 11:36:52","Yes","Yes","Yes","Yes","Completely agree","Agree","Agree","Disagree","Disagree","Agree","Completely disagree","Important","Important","Very important","Neither important nor unimportant","Neither important nor unimportant","I don't know","Very important","Very important","Neither important nor unimportant","","","Aware","Aware","Yes","No","No","Yes","No","","No","No","Yes","I don't know","I don't know","No","Yes","I don't know","No","No","","Sometimes","Often","Rarely","Rarely","Sometimes","Never","I don't know","I don't know","I don't know","I don't know","I don't know","Established","Neither established nor unestablished","Unestablished","Neither established nor unestablished","Established","Established","Established","Unestablished","Not established at all","Established","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"178","","1","en","764827166","Nmm7rP6NOtZnu3Q","2021-03-18 12:16:37","2021-03-18 12:16:49","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"180","","","en","237381351","te9somgF0fLoYIa","2021-03-18 13:30:37","2021-03-18 13:30:37","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"181","","","en","909147634","ItzOLRaYN9BKQcQ","2021-03-18 13:43:43","2021-03-18 13:43:43","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"182","","","en","1818328173","0w8I12hubJiG82K","2021-03-18 13:57:20","2021-03-18 13:57:20","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"184","","","en","1458040160","AU2bIbgu5Cy2S0K","2021-03-18 14:51:48","2021-03-18 14:51:48","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"186","","1","en","1732931166","Mo0QpFRTiHHKfzn","2021-03-18 16:10:06","2021-03-18 16:10:37","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"187","","3","en","1898432009","0w8I12hubJiG82K","2021-03-18 16:13:24","2021-03-18 16:31:41","Yes","Yes","Yes","Yes","Completely disagree","I don't know","Completely disagree","I don't know","I don't know","I don't know","I don't know","Very important","Very important","I don't know","I don't know","I don't know","Neither important nor unimportant","Important","I don't know","I don't know","","","Aware","Aware","No","No","No","No","Yes","","Yes","Yes","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","","Never","Often","Never","Never","Sometimes","Rarely","Sometimes","Never","Often","Often","Always","Neither established nor unestablished","I don't know","Neither established nor unestablished","Very established","Established","Very established","Neither established nor unestablished","Unestablished","Unestablished","Established","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"189","","1","en","238822511","Lc3W7Us3OWIER79","2021-03-18 16:24:20","2021-03-18 16:24:39","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"191","","1","en","1338167020","PZs04Do2zSMCf4z","2021-03-18 17:26:35","2021-03-18 17:26:49","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"193","","1","en","2036242373","K3xdNrslZwz16pZ","2021-03-18 18:02:24","2021-03-18 18:24:23","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"194","","2","en","2080455798","MVF2ZnOeJbEn6yE","2021-03-18 18:21:01","2021-03-18 18:23:00","Yes","Yes","Yes","Yes","Agree","Neither agree or disagree","Disagree","Disagree","Completely disagree","Disagree","Neither agree or disagree","Important","Important","Neither important nor unimportant","Neither important nor unimportant","Neither important nor unimportant","I don't know","Very important","Important","Important","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"195","","2","en","1840816292","K3xdNrslZwz16pZ","2021-03-18 18:41:50","2021-03-18 19:02:13","Yes","Yes","Yes","Yes","Completely agree","Agree","Agree","Completely agree","Completely agree","Agree","Neither agree or disagree","Very important","Important","Very important","Very important","Important","I don't know","Very important","Very important","Important","Promoting international projects and/or nets
Taking part in international networks and/or partnerships

 
","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"196","","1","en","475353998","0QNnZMpHN44MlaC","2021-03-18 19:45:58","2021-03-18 19:46:26","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"198","","1","en","957906208","9iKpz8LWMY78JOj","2021-03-18 21:04:29","2021-03-18 21:04:44","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"200","","","en","861341312","GvQ6jgnG8sC2r3v","2021-03-18 21:31:41","2021-03-18 21:31:41","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"201","","","en","2004280951","JvXfwrS6eZav7qi","2021-03-18 23:12:01","2021-03-18 23:12:01","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"202","","1","en","1451606010","6sls60TMCYguOjl","2021-03-19 03:40:37","2021-03-19 03:41:39","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"208","","1","en","588782961","TUPsV5cz06d6nZt","2021-03-19 17:26:11","2021-03-19 17:26:32","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"209","","1","en","219190430","5IP6GltYwoTgVI1","2021-03-20 00:56:58","2021-03-20 00:57:21","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"216","","3","en","489739568","4EG7Gkyko25HSgI","2021-03-22 11:24:31","2021-03-22 11:34:17","Yes","Yes","Yes","Yes","Agree","Completely disagree","Completely disagree","Completely disagree","Completely disagree","I don't know","I don't know","Very important","Important","Unimportant","Important","Important","Completely unimportant","Very important","Very important","Very important","","","Very aware","Very aware","No","No","No","Yes","No","","No","No","No","Yes","No","No","No","No","I don't know","I don't know","","Sometimes","Often","Rarely","Rarely","Never","Never","Often","I don't know","I don't know","I don't know","I don't know","Unestablished","Established","Established","Unestablished","Unestablished","Unestablished","Established","Established","Neither established nor unestablished","Unestablished","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"217","","1","en","2062172949","aC1eOO01pbV28fk","2021-03-22 11:24:54","2021-03-22 11:25:12","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"218","","","en","2142159081","tJ3RzcSJTaujUau","2021-03-22 11:25:14","2021-03-22 11:25:14","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"223","","1","en","125801294","txEADa4iDgqACmK","2021-03-22 11:26:25","2021-03-22 11:26:34","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"224","","1","en","2135533638","VerGnH4pFoeBQPb","2021-03-22 11:26:56","2021-03-22 11:27:22","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"225","","1","en","614021252","TBVuXopanASwemm","2021-03-22 11:27:27","2021-03-22 11:27:39","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"228","","0","en","250415275","iNajsfNz16zLB1W","2021-03-22 11:29:13","2021-03-22 11:30:28","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"229","","1","en","491714649","QRDKiAD0q1MOE5v","2021-03-22 11:29:15","2021-03-22 11:29:32","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"232","","3","en","933616661","0VeijWT0vY0kxve","2021-03-22 11:31:30","2021-03-22 11:38:08","Yes","Yes","Yes","Yes","Disagree","I don't know","Disagree","Agree","Neither agree or disagree","Neither agree or disagree","I don't know","Important","Unimportant","Neither important nor unimportant","Unimportant","Neither important nor unimportant","Important","Neither important nor unimportant","Neither important nor unimportant","Important","","","Aware","Neither aware nor unaware","No","Yes","No","Yes","Yes","","Yes","No","I don't know","No","No","I don't know","No","No","Yes","Yes","","Often","Always","Never","Never","Never","Never","Rarely","Never","Sometimes","Never","Never","Established","Unestablished","Established","Neither established nor unestablished","Established","Unestablished","Established","Not established at all","Neither established nor unestablished","Established","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"235","","1","en","600275030","yt0262cGTQvHRbU","2021-03-22 11:33:48","2021-03-22 11:34:03","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"236","","2","en","1700836117","UfiHilPRYSu7uiO","2021-03-22 11:34:20","2021-03-22 11:38:28","Yes","Yes","Yes","Yes","Agree","Agree","Disagree","Completely disagree","Neither agree or disagree","Neither agree or disagree","Neither agree or disagree","Important","Neither important nor unimportant","Neither important nor unimportant","Very important","Important","Neither important nor unimportant","Important","Important","Important","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"238","","1","en","2108505345","bSv1l5VknLvQaGi","2021-03-22 11:34:36","2021-03-22 11:35:13","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"239","","","en","1313287026","42b5VZsR6i4ta3I","2021-03-22 11:35:21","2021-03-22 11:35:21","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"241","","1","en","2120257092","t2DOafV7I9UeROG","2021-03-22 11:36:47","2021-03-22 11:37:24","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"244","","","en","144472190","D5TanUwqv1Vl00I","2021-03-22 11:37:48","2021-03-22 11:37:48","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"250","","2","en","925832333","LWEMqftWZsxluUX","2021-03-22 11:40:26","2021-03-22 11:42:09","Yes","Yes","Yes","Yes","Agree","Agree","Disagree","Neither agree or disagree","Neither agree or disagree","Disagree","Neither agree or disagree","Very important","Important","Important","Neither important nor unimportant","Neither important nor unimportant","I don't know","Very important","Important","Unimportant","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"251","","3","en","1130538058","ZH5I1NzspqNh6ak","2021-03-22 11:40:54","2021-03-22 11:47:13","Yes","Yes","Yes","Yes","Agree","I don't know","Neither agree or disagree","Disagree","Neither agree or disagree","Disagree","Neither agree or disagree","Neither important nor unimportant","Neither important nor unimportant","Very important","Unimportant","Important","I don't know","Very important","Neither important nor unimportant","Important","","","Very aware","Aware","No","No","No","Yes","No","","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Open Science initiatives exist in department (instigated by me as research chair) but not much at university level. Ethics and equality/diversity important to uni in terms of students/personnel but not really as relates to research.","Often","Always","Rarely","Rarely","Often","Sometimes","Often","Never","Often","Sometimes","Often","Established","Unestablished","Unestablished","Neither established nor unestablished","Established","Established","Unestablished","Unestablished","Neither established nor unestablished","Established","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"252","","1","en","1454110056","9CwZ0iQz9MLyQzG","2021-03-22 11:41:34","2021-03-22 11:42:37","Yes","Yes","Yes","Yes","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"253","","3","en","154633508","HZ5VZ07FwrSPe1j","2021-03-22 11:41:52","2021-03-22 11:57:00","Yes","Yes","Yes","Yes","Agree","I don't know","Disagree","Neither agree or disagree","I don't know","Disagree","Completely disagree","Very important","Neither important nor unimportant","Neither important nor unimportant","Completely unimportant","Unimportant","Completely unimportant","Very important","Unimportant","Neither important nor unimportant","My answers reflect what has actually happened to me and to colleagues, rather than what is writting in the related policies.","It is more the degree of what is expected rather than individual items that is problematic.  The expectations for promotion have continuously inflated since I have been at the University, while at the same time, workloads have also continuously increased.","Aware","Aware","No","No","No","Yes","Yes","I've picked up a loose understanding though references to each in conversations, e-mails, etc.  ","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","I don't know","My answers above reflect the condition of continually being unable to stay on top of my own workload in order to be interested and engage with so much that's going on around me.  We are barraged with e-mails of all sorts of staff training, but I often doen't even have time to read the e-mails.  From conversations, others in my department and university are in similar situations.  ","Never","Never","Never","Never","Sometimes","Never","I don't know","I don't know","Never","I don't know","I don't know","Not established at all","Neither established nor unestablished","Not established at all","Not established at all","Neither established nor unestablished","Not established at all","Very established","Not established at all","Neither established nor unestablished","Neither established nor unestablished","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"254","","","en","1495432672","lqEKa0eYFoasaaw","2021-03-22 11:42:19","2021-03-22 11:42:19","","","","","","","","","","","","","","","","","","","","","","","","","N/A","N/A","N/A","N/A","N/A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
